Quinto semestre: 2022-20
CBCA 1061, 01: Historia del Traje en Occidente (Tipo E)	Calificación		Valor		Puntos				Tiempo por créditos	
	Nota	Porcentual	Porcentual	Créditos	Perdidos	Alcanzables			Con clases	Sin clases
Resumen del capítulo Más allá de las rivalidades de clase del libro El imperio de lo efímero: La moda y su destino en las sociedades modernas de Gilles Lipovetsky	5.00	100.00%	25.00%	0.75	0	5.00			16 h y 40 min	36 h
Ensayo argumentativo	5.00	100.00%	25.00%	0.75	0	5.00			16 h y 40 min	36 h
Parcial	4.50	90.00%	25.00%	0.75	-0.1250	4.88			16 h y 40 min	36 h
Trabajo final	5.00	100.00%	25.00%	0.75	0	4.88			16 h y 40 min	36 h
Nota final	4.88	97.50%	100.00%	3.00	-0.1250	4.88				
Nota final con aproximación a la milésima	4.88	97.60%	100.00%							
Máxima nota final alcanzable a la fecha	4.88	97.50%	100.00%							
Mínima nota final alcanzable a la fecha	4.88	97.50%	100.00%							
										
ISIS 1001, 04: Introducción a la Ingeniería de Sistemas	Calificación		Valor		Puntos				Tiempo por créditos	
	Nota	Porcentual	Porcentual	Créditos	Perdidos	Alcanzables			Con clases	Sin clases
Tutorial Kodular	5.00	100.00%	4%	0.12	0	5.00			3 h y 12 min	5 h y 46 min
Taller 1: Kodular	5.00	100.00%	6%	0.18	0	5.00			4 h y 48 min	8 h y 38 min
Tutorial Unity	4.60	92.00%	4%	0.12	-0.0160	4.98			3 h y 12 min	5 h y 46 min
Taller 2: Unity	5.00	100.00%	6%	0.18	0	4.98			4 h y 48 min	8 h y 38 min
Tutorial Arduino	5.00	100.00%	4%	0.12	0	4.98			3 h y 12 min	5 h y 46 min
Taller 3: Arduino	5.00	100.00%	6%	0.18	0	4.98			4 h y 48 min	8 h y 38 min
Proyecto 1: Documento observación y concepción	5.00	100.00%	7.50%	0.23	0	4.98			6 h	10 h y 48 min
Proyecto 1: Presentación Final	4.60	92.00%	7.50%	0.23	-0.0300	4.95			6 h	10 h y 48 min
Proyecto 1: Aplicación móvil	4.78	95.60%	7.50%	0.23	-0.0165	4.94			6 h	10 h y 48 min
Proyecto 1: Documento final	5.00	100.00%	7.50%	0.23	0	4.94			6 h	10 h y 48 min
Proyecto 1: Factor multiplicativo por Coevaluación 	1.00		0.00%	0.00	0	4.94			0 min	0 min
ExpoAndes: Documento Observación y Concepción (Bonos: +0.25 por entrega temprana, +0.75 por 2do puesto disfraz)	6.00	120.00%	6.67%	0.20	0.0667	5.00			5 h y 20 min	9 h y 36 min
ExpoAndes: Video tipo Pitch	5.00	100.00%	6.67%	0.20	0	5.00			5 h y 20 min	9 h y 36 min
ExpoAndes: Diseño	5.00	100.00%	6.67%	0.20	0	5.00			5 h y 20 min	9 h y 36 min
ExpoAndes: Afiche	Realizado	0.00%		0.00	0	5.00			0 min	0 min
ExpoAndes: Feria	4.66	93.20%	6.67%	0.20	-0.0227	4.98			5 h y 20 min	9 h y 36 min
ExpoAndes: Documento Final	5.00	100.00%	6.67%	0.20	0	4.98			5 h y 20 min	9 h y 36 min
ExpoAndes: Video Final	4.75	95.00%	6.67%	0.20	-0.0167	4.96			5 h y 20 min	9 h y 36 min
ExpoAndes: Factor multiplicativo por Coevaluación 	1		0.00%	0.00	0	4.96			0 min	0 min
Nota final	4.96	99.30%	100.00%	3.00	-0.0352	4.96				
Nota final con aproximación a la milésima (y empujoncito de Iván)	5.00	100.00%	100.00%							
Máxima nota final alcanzable a la fecha	4.96	99.30%	100.00%							
Mínima nota final alcanzable a la fecha	4.96	99.30%	100.00%							
										
ISIS 1105, 03: Diseño y Análisis de Algoritmos (Dalgo)	Calificación		Valor		Puntos				Tiempo por créditos	
	Nota	Porcentual	Porcentual	Créditos	Perdidos	Alcanzables			Con clases	Sin clases
Tarea 1	4.78	95.60%	3.33%	0.10	-0.0073	4.99			3 h y 23 min	4 h y 48 min
Tarea 2	4.55	91.00%	3.33%	0.10	-0.0150	4.98			3 h y 23 min	4 h y 48 min
Parcial 1	3.30	66.00%	0.00%	0.00	0	4.98			0 min	0 min
Parcial 1 con bono de una unidad tras corrección	4.30	86.00%	20.00%	0.60	-0.1400	4.84			20 h y 16 min	28 h y 48 min
Tarea 3	4.20	84.00%	3.33%	0.10	-0.0267	4.81			3 h y 23 min	4 h y 48 min
Proyecto parte 1	4.50	90.00%	6.67%	0.20	-0.0333	4.78			6 h y 45 min	9 h y 36 min
Tarea 4	5.00	100.00%	3.33%	0.10	0	4.78			3 h y 23 min	4 h y 48 min
Parcial 2	5.00	100.00%	20.00%	0.60	0	4.78			20 h y 16 min	28 h y 48 min
Proyecto parte 2	5.00	100.00%	6.67%	0.20	0	4.75			6 h y 45 min	9 h y 36 min
Taller sorpresa semana 9: Programación dinámica, problema de la suma	5.00	100.00%	1.11%	0.03	0	4.78			1 h y 8 min	1 h y 36 min
Taller semana 13: Algoritmos PageRank y HITS. Grafos.	5.00	100.00%	1.11%	0.03	0	4.78			1 h y 8 min	1 h y 36 min
Taller semana 15: Algoritmo para hallar aristas puente de un grafo	5.00	100.00%	1.11%	0.03	0	4.78			1 h y 8 min	1 h y 36 min
Tarea 6	4.25	85.00%	3.33%	0.10	-0.0250	4.75			3 h y 23 min	4 h y 48 min
Parcial 3	5.00	100.00%	20.00%	0.60	0	4.75			20 h y 16 min	28 h y 48 min
Proyecto parte 3	5.00	100.00%	6.67%	0.20	0	4.75			6 h y 45 min	9 h y 36 min
Nota final	4.75	95.05%	100.00%	3.00	-0.2473	4.75				
Nota final con aproximación a la décima	4.80	96.00%	100.00%							
Nota final con aproximación de Rubén	5.00	100.00%	100.00%							
Máxima nota final alcanzable a la fecha	4.75	95.05%	100.00%							
Mínima nota final alcanzable a la fecha	4.75	95.05%	100.00%							
Se ordenan y agrupan estudiantes según nota final. Con eso se asignan notas finales: grupo 1: 5, grupo 2: 4.5, …,grupo 8: 1.5.										
										
ISIS 1106, 02: Lenguajes y Máquinas (LyM) (Tipo I)	Calificación		Valor		Puntos				Tiempo por créditos	
	Nota	Porcentual	Porcentual	Créditos	Perdidos	Alcanzables			Con clases	Sin clases
