SUBJECT	DERE 1300, 11: Constitución y democracia
CREDITS	3
PROFESSOR	Esteban Restrepo Saldarriaga	María Susana Peralta Ramón (Profesora Asistente)
Podcast: Relación entre la Constitución de 1991 y la noción de DDHH	4.50	0.05
Párrafo: Ejemplo de colaboración armónica	4.40	0.05
Infografía: Rama judicial Colombia	5.00	0.10
Podcast: Acceso sin barreras a la interrupción voluntaria del embarazo	4.70	0.10
Quiz 1 módulo de economía	4.50	0.05
Quiz 2 módulo de economía	5.00	0.05
Texto argumentativo módulo de economía	4.00	0.05
Texto: Igualdad y no discriminación	5.00	0.10
Texto: Recomendaciones de la OMS para el manejo de futuras pandemias	4.90	0.15
Infografía: Jurisdicción Especial para la Paz (JEP) y justicia transicional	4.80	0.15
Coevaluación	5.00	0.15
EXTRA	Ser declarado el mejor video de Experiencia de autonomía personal tras votación democrática del curso	0.2

SUBJECT	FISI 1502, 01: Introducción a la física
CREDITS	3
PROFESSOR	Andrés Fernando Reyes Lega
Tarea 1: Péndulo simple	4.97	0.15
Examen parcial 1	5.00	0.25
Tarea 2: Osciladores acoplados	5.00	0.15
Examen parcial 2: Expermiento osciladores acoplados	5.00	0.25
Tarea 3: El descubrimiento de la violación de paridad	5.00	0.15
Bono general del 5%	5	0.05	

SUBJECT	ISIS 1221, 28: Introducción a la programación
CREDITS	3
PROFESSOR	Lizeth Andrea Herrera Suescún
Tareas nivel 1	5.00	0.01
Proyecto nivel 1	4.60	0.04
Examen nivel 1	4.65	0.05
Tareas nivel 2	5.00	0.03
Proyecto nivel 2	5.00	0.05
Examen nivel 2	5.00	0.17
Tareas nivel 3	5.00	0.04
Examen nivel 3	5.00	0.25
Proyecto nivel 3	5.00	0.06
Tareas nivel 4	5.00	0.02
Proyecto nivel 4	4.93	0.05
Examen final	5.00	0.23
ROUND	al .5

SUBJECT	LENG 1511, 6: Escritura universitaria I
CREDITS	2
PROFESSOR	Natalia Michelle Pineda Zorro
Párrafo sobre la importancia de la escritura	4.40	0.10
Resumen de "¡Vamos al Centro Comercial! Consumo y visualidades del miedo en la Medellín contemporánea"	4.65	0.25
Reseña de «“Supermercados made in”. Conexiones, consumo y apropiaciones. Estados Unidos y Colombia (siglo XX)»	4.95	0.30
Ejercicio de tildes	4.88	0.075
Quiz de citación	5.00	0.075
Texto reflexivo	5.00	0.20

SUBJECT	LENG 1512, 36: Escritura universitaria II
CREDITS	2
PROFESSOR	Angela Denisse Cabezas Sarmiento
Quiz deductivo o inductivo	5.00	0.05
Diagrama de lectura de "Guy Debord 2.0: hacia un análisis de la mercantilización de la subjetividad en las redes sociales"	4.58	0.10
Planteamiento de tesis para el texto argumentativo	4.00	0.10
Autoevaluación debate presidencial	5.00	0.05
Quiz dialéctico y falacias	5.00	0.05
Diagrama de texto argumentativo	4.48	0.10
Texto argumentativo final	5.00	0.30
Evaluación profesor debate Orator	5.00	0.05
Coevaluación debate boxing	5.00	0.05
Texto reflexivo	5.00	0.15

SUBJECT	MATE 1203, 4: Cálculo diferencial
CREDITS	3
PROFESSOR	Alexander Murcia Mazo
Taller 1: Límites	4.60	0.10
Examen parcial 1: Límites	5.00	0.20
Examen parcial 2: Derivadas	5.00	0.20
Taller 2: Optimización	4.90	0.10
Examen parcial 3: Antiderivadas e integral definida	5.00	0.20
Examen final	4.00	0.20

