FISI 1528, 26: Física 2
3
Chad Leidy
Laboratorio FISI 1029, 04: Física Experimental 2	4.62	0.2
Complementaria FISI 1528, 26: Física 2	5.00	0.2
Quiz de opción múltiple semana 2	3.75	0.2/6
Quiz de opción múltiple semana 3	5.00	0.2/6
Quiz de opción múltiple semana 5	3.75 (Anulado para todos)	
Quiz de opción múltiple semana 6	5.00	0.2/6
Examen parcial 1 (asincrónico)	5.00	0.05
Quiz de opción múltiple semana 7	5.00	0.2/6
Quiz de opción múltiple semana 9	2.50 (Peor quiz no cuenta)	
Quiz de opción múltiple semana 10	5.00	0.2/6
Examen parcial 2 (sincrónico)	3.85	0.05
Quiz de opción múltiple semana 11	5.00	0.2/6
Examen parcial 3 (asincrónico)	4.90	0.05
Examen parcial 4 (asincrónico)	5.00	0.05
Examen final	4.25	0.2

		
FISI 2526, 01: Métodos Computacionales 1
3
Manuel Alejandro Segura Delgado
Complementaria FISI 2526, 01: Métodos Computacionales 1	5	0.25
Semana 2: Animación en Python	5.00	0.75/12
Semana 3: Derivación - Campo eléctrico	4.00	0.00
Semana 4: Interpolación por Newton-Gregory para puntos no equiespaciados	5.00	0.75/12
Semana 5: Cuadratura gaussiana y de Gauss-Laguerre	5.00	0.75/12
Bono Semana 5: Cuadratura Gauss-Hermite	+ 0.25 en Semana 3	
Semana 6: Sistemas de ecuaciones lineales, colisión de dos discos rígidos	5.00	0.75/12
Semana 8: Sobrerelajación MonteCarlo	5.00	0.75/12
Semana 7: Mínimos cuadrados y sistemas de ecuaciones no lineales	5.00	0.75/12
Semana 10: Introducción a probabilidad	5.00	0.75/12
Semana 11: Conteo	5.00	0.75/12
Semana 12: Covarianza	5.00	0.75/12
Bono Semana 12: Hipótesis (producto de Kronecker y p-values)	+ 0.25 en Semana 3	
Semana 3: Derivación - Campo eléctrico [con bono]	4.50	0.75/12
Semana 13: Bondad del ajuste	4.95	0.75/12
Bono Semana 15: Bondad del ajuste para pseudo-generadores	No se realizó	
Semana 15: Metrópolis Hastings - Molécula de Hidrógeno [examen final]	¡Eximido!	
Exención Examen final: Hidden Markov models	5.00	0.75/12
		
		
ISIS 1225, 02: Estructuras de Datos y Algoritmos
3
Darío Correal Torres	Santiago Arteaga Martín (Profesor Asistente)
Reto 1	4.58	0.12
Examen parcial 1: Complejidades y estructuras de datos lineales	4.50	0.16
Reto 2	4.92	0.12
Examen parcial 2: Tablas de símbolos	4.75	0.16
Reto 3	5.00	0.14
Examen parcial 3: Grafos	4.00	0.16
Reto 4	4.93	0.14
ROUND	al .5
	
LENG 1301, 08: Alemán 1
3
Natalia Rincón Barrero
Quiz 1	5.00	0.01
Quiz 2	4.00	0.00
Quiz 2 con bono	5.00	0.01
Quiz 3	5.00	0.01
Quiz 4	5.00	0.01
Quiz 5	5.00	0.01
Moodle 1 (Kapitel 1 und 2 - Obligatorisch)	5.00	0.05
Moodle 2 (Kapitel 3, 4, und 5 - Obligatorisch) con bono	5.00	0.05
Moodle 3  (Kapitel 6, 7, und 8 - Obligatorisch)	5.00	0.05
Miniprojekt 1	4.00	0.05
Miniprojekt 2	5.00	0.05
Miniprojekt 3	5.00	0.05
Cartilla 1	5.00	0.05/3
Cartilla 2	5.00	0.05/3
Cartilla final	5.00	0.05/3
Participación y asistencia 1	5.00	0.05
Participación y asistencia 2	5.00	0.05
Übungsbuch (Bono nota tests)	No se realizó.	
Moodle (V) (Bono nota moodle)	Bono moodle y quizzes	
Oraciones de las camisetas o los fondos (Bono nota cartilla)	No se realizó.	
Quizlet (Bono nota participación)	No se realizó.	
Examen parcial 1	4.80	0.15
Examen parcial 2	4.90	0.15
Examen parcial 3	4.70	0.2
EXTRA	Bonos realizados	0.03
		
		
MATE 1102, 01: Matemática Estructural
3
John Goodrick
Tarea 1: Lógica, conjuntos y demostraciones	4.89	0.04
Examen parcial 1: Conjuntos e inducción	5.00	0.2
Tarea 2: Conjuntos, inducción e inducción fuerte	5.00	0.04
Tarea 3: Algoritmos de división y de Euclides, primos y máximo común divisor	5.00	0.04
Examen parcial 2: Aritmética modular, congruencias, primos y primos relativos	5.00	0.2
Tarea 4: Teorema chino residuos, pequeño teorema Fermat, relaciones y funciones	4.69	0.04
Examen parcial 3: Aritmética modular, funciones, relaciones de equivalencia, órdenes	5.00	0.2
Tarea 5: cardinalidades infinitas, conteo	4.69	0.04
Examen final	5.00	0.2
ROUND	al .1

