Segundo semestre: 2021-10
CBCC 1177, 18: Colombia: Espacio, Tiempo y Diferencia (Ciclo 1 de 8 semanas) 	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Cumplimiento de la entrega no calificable 1: Acuerdos grupales	5.00	100.00%	2.50%	0.05
Cumplimiento de la entrega no calificable 2: Percepciones - Padlet 1	5.00	100.00%	2.50%	0.05
Cumplimiento de la entrega no calificable 3: Comparar Percepciones - Padlet 2	5.00	100.00%	2.50%	0.05
Tabla de análisis y contextualización de fuentes unidad 2	4.43	88.60%	10.00%	0.20
Plan de trabajo - historia de vida	4.50	90.00%	2.50%	0.05
Narrativa sobre la historia de vida familiar	5.00	100.00%	25.00%	0.50
Cumplimiento de la entrega no calificable 5: Justificación elección eje	5.00	100.00%	3.33%	0.07
Tabla de análisis y contextualización de fuentes unidad 3	5.00	100.00%	10.00%	0.20
Plan de trabajo grupal	4.00	80.00%	5.00%	0.10
Cumplimiento de la entrega no calificable 6: Foro: Contraste entre las fuentes	5.00	100.00%	3.33%	0.07
Cumplimiento de la entrega no calificable 7: Pregunta y justificación fuentes	5.00	100.00%	3.33%	0.07
Trabajo de indagación grupal	4.30	86.00%	30.00%	0.60
Nota final	4.67	93.41%	100.00%	2.00
Nota final con aproximación a la décima	4.70	94.00%	100.00%	
Máxima nota final alcanzable a la fecha	4.70	94.00%	100.00%	
Mínima nota final alcanzable a la fecha	4.70	94.00%	100.00%	
				
				
FISI 1518, 16: Física 1	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Complementaria FISI 1518, 16: Física 1	4.87	97.40%	20.00%	0.60
FISI 1019, 22: Física Experimental I	5.00	100.00%	20.00%	0.60
Quiz: Capítulo 1, secciones 1.1. a 3.3	4.70	94.00%	4.00%	0.12
Examen parcial 1: Capítulos 1 a 5	5.00	100.00%	12.00%	0.36
Examen parcial 2: Capítulos 6 a 9	5.00	100.00%	12.00%	0.36
Examen parcial 3: Capítulos 10 a 14	3.93	78.57%	12.00%	0.36
Examen final	4.50	90.00%	20.00%	0.60
Bonos FISI 1518, 16: Física 1	0.27		0.00%	0.00
Nota final	4.73	94.67%	100.00%	3.00
Nota final más bonos	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
Bonos FISI 1518, 16: Física 1	Bono	Causa		
Bono parcial 1 (marzo 11)	5 / 100	Nota de 105 sobre 100 en el parcial 1.		
Bono 1 - Clase magistral № 16, jueves 18 de marzo de 2021	"Pequeño bonito [...] va a ser chiquitico".	Responder qué fuerzas eran constantes en la dinámica de una partícula que se desliza en un tazón hemisférico (ejercicio 7.9.).		
Bonos 2 y 3 - Clase magistral № 18, jueves 8 de abril de 2021	5 puntos	2. Explicar por qué el momento lineal se conserva en una colisión inelástica aunque la enería cinética no se conserva. 3. Responder por qué no es posible igualar las energías antes y después de una colisión inelástica.		
Bono parcial 2	12 / 100	Nota de 112 sobre 100 en el parcial 2.		
Bono 4 - Clase magistral № 28, jueves 13 de mayo de 2021	"Bonito"	Hallar una expresión para la velocidad de escape de la superficie lunar		
Bono 5 - Clase magistral № 31, martes 25 de mayo de 2021	"Bonito adicional"	Hallar una expresión para la frecuencia angular de oscilación en un sistema de dos resortes unidos a una masa que oscila armónicamente.		
Total de bonos	0.27			
				
Complementaria FISI 1518, 16: Física 1	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Complementaria semana 1: Semana1_FedericoMelo	5.00	100.00%	3.75%	0.02
Complementaria semana 2:  Semana2_FedericoMelo	4.70	94.00%	3.75%	0.02
Complementaria semana 3:  Semana3_FedericoMelo	5.00	100.00%	3.75%	0.02
Complementaria semana 4:  Semana4_FedericoMelo	5.00	100.00%	3.75%	0.02
Complementaria semana 5:  Semana5_FedericoMelo	5.00	100.00%	3.75%	0.02
Complementaria semana 6:  Semana6_FedericoMelo	5.00	100.00%	3.75%	0.02
Complementaria semana 7:  Semana7_FedericoMelo	3.50	70.00%	3.75%	0.02
Complementaria semana 8:  Semana8_FedericoMelo	5.00	100.00%	3.75%	0.02
Complementaria semana 9:  Semana9_FedericoMelo	4.50	90.00%	10.00%	0.06
Complementaria semana 10:  Semana10_FedericoMelo	5.00	100.00%	10.00%	0.06
Complementaria semana 11:  Semana11_FedericoMelo	5.00	100.00%	10.00%	0.06
Complementaria semana 12:  Semana12_FedericoMelo	5.00	100.00%	10.00%	0.06
Complementaria semana 13:  Semana13_FedericoMelo	4.90	98.00%	10.00%	0.06
Complementaria semana 14:  Semana14_FedericoMelo	5.00	100.00%	10.00%	0.06
Complementaria semana 15:  Semana15_FedericoMelo	5.00	100.00%	10.00%	0.06
Nota final	4.87	97.45%	100.00%	0.60
Nota final con aproximación a la milésima	4.87	97.40%	100.00%	
Máxima nota final alcanzable a la fecha	4.87	97.40%	100.00%	
Mínima nota final alcanzable a la fecha	4.87	97.40%	100.00%	
				
FISI 1019, 22: Física Experimental I	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Práctica 0: Práctica introductoria (Logger Pro)	5.00	100.00%	7.69%	0.05
Práctica 1: Cinemática en una dimensión (Pivot)	5.00	100.00%	7.69%	0.05
Práctica 2: Caída libre (Pivot - duplicada)	5.00	100.00%	7.69%	0.05
Práctica 3: Cinemática en dos dimensiones (Logger Pro)	5.00	100.00%	7.69%	0.05
Práctica 4: Fuerzas sobre objetos en una rampa (Pivot)	5.00	100.00%	7.69%	0.05
Práctica 5: Segunda ley de Newton (Pivot)	5.00	100.00%	7.69%	0.05
Práctia 6: Fuerzas de fricción (Pivot)	4.70	94.00%	7.69%	0.05
Práctica 7: Aceleración centrípeta (Pivot)	5.00	100.00%	7.69%	0.05
Práctica 8: Teorema trabajo-energía (Pivot)	5.00	100.00%	7.69%	0.05
Práctica 9: Conservación de la energía mecánica (Pivot)	5.00	100.00%	7.69%	0.05
Práctica 10: Conservación del momento lineal (Pivot)	4.90	98.00%	7.69%	0.05
Práctica 12: Rodamiento sin deslizamiento (Pivot)	5.00	100.00%	7.69%	0.05
Práctica 13: Conservación del momento angular (Pivot)	5.00	100.00%	7.69%	0.05
Nota final	4.97	99.38%	100.00%	0.60
Nota final con aproximación a la décima	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
				
MATE 1105, 18: Álgebra Lineal 1	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Complementaria MATE 1105, 18: Álgebra Lineal 1	4.87	97.40%	20.00%	0.60
Examen acumulativo 1	4.58	91.67%	20.00%	0.60
Examen acumulativo 2	5.00	100.00%	20.00%	0.60
