ADMI	Departamento de Administración
ANTR	Departamento de Antropología
ARQT	Departamento de Arquitectura
ARTE	Departamento de Arte
CPOL	Departamento de Ciencia Política
BIOL	Departamento de Ciencias Biológicas
DISO	Departamento de Diseño
CBCA	CBU del Área de Cultura, Artes y Humanidades
CBCC	CBU Curso Común de Colombia
CBPC	CBU del Área de Pensamiento Científico
CISO	Facultad de Ciencias Sociales
DERE	Facultad de Derecho
FILO	Departamento de Filosofía
FISI	Departamento de Física
FCIE	Facultad de Ciencias
GEOC	Departamento de Geociencias
HIST	Departamento de Historia
HART	Departamento de Historia del Arte
IBIO	Departamento de Ingeniería Biomédica
ICYA	Departamento de Ingeniería Civil y Ambiental
ISIS	Departamento de Ingeniería de Sistemas y Computación
IIND	Departamento de Ingeniería Industrial
IMEC	Departamento de Ingeniería Mecánica
IQUI	Departamento de Ingeniería Química 
IALI	Departamento de Ingeniería de Alimentos
LENG	Departamento de Lenguas y Cultura
MATE	Departamento de Matemáticas
MUSI	Departamento de Música
QUIM	Departamento de Química


